GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-backend,db_dump,ParserUtils,3,178,0,6,1,35,1,8,1,5
project-backend,db_dump,DumpDB,150,0,16,0,38,0,11,0,3,0
project-backend,dao,PlaceLogDao,233,0,16,0,71,0,13,0,5,0
project-backend,dao,DailyEventDao,311,0,28,0,109,0,20,0,6,0
project-backend,dao,WalkingActivityDao,169,0,16,0,63,0,13,0,5,0
project-backend,dao,DBCPDataSource,43,0,0,0,12,0,3,0,3,0
project-backend,model,WalkingActivity,37,126,2,2,13,38,4,20,2,20
project-backend,model,PlaceWithActivities,0,77,0,0,0,28,0,11,0,11
project-backend,model,DailyEvent,39,76,0,0,15,32,2,16,2,16
project-backend,model,PlaceLog,69,135,8,4,23,47,8,23,2,23
project-backend,api,PlaceLogServlet,67,0,2,0,20,0,3,0,2,0
project-backend,api,DailyEventServlet,81,0,2,0,24,0,3,0,2,0
project-backend,api,PlaceActivityServlet,67,0,4,0,21,0,4,0,2,0
project-backend,api,WalkingActivityServlet,58,0,2,0,19,0,3,0,2,0
project-backend,processor,PlaceActivityProcessor,82,0,6,0,22,0,6,0,3,0
